signal_bar_open_utc,decision_available_utc,session_date,spot,event_family,events,campaign_health,phase_confidence,weakness_count,partition,anchor_id
2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23,5.0229,CONTINUATION,RELOAD,76.0,52.0,0.0,DISCOVERY,AMC15X-001
2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,2024-08-26,5.1701,RISK_OR_EXHAUSTION,MANAGE,95.0,75.0,0.0,DISCOVERY,AMC15X-002
2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30,4.89,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,AMC15X-003
2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,2024-09-03,4.8018,THESIS_PRESSURE,FAIL TEST,3.0,0.0,9.0,DISCOVERY,AMC15X-004
2024-10-10T19:15:00+00:00,2024-10-10T19:30:00+00:00,2024-10-10,4.171,ENTRY_FORMING,CAMPAIGN START,85.0,54.0,0.0,DISCOVERY,AMC15X-005
2024-10-22T19:30:00+00:00,2024-10-22T19:45:00+00:00,2024-10-22,4.325,RISK_OR_EXHAUSTION,PEAK,100.0,80.0,0.0,DISCOVERY,AMC15X-006
2024-10-23T15:15:00+00:00,2024-10-23T15:30:00+00:00,2024-10-23,4.26,THESIS_PRESSURE,FAIL TEST,14.0,3.0,6.0,DISCOVERY,AMC15X-007
2024-10-24T13:45:00+00:00,2024-10-24T14:00:00+00:00,2024-10-24,4.2699,CONTINUATION,RELOAD,50.0,46.0,0.0,DISCOVERY,AMC15X-008
2024-10-30T14:15:00+00:00,2024-10-30T14:30:00+00:00,2024-10-30,4.5871,RISK_OR_EXHAUSTION,PEAK,100.0,84.0,0.0,DISCOVERY,AMC15X-009
2024-11-08T20:45:00+00:00,2024-11-08T21:00:00+00:00,2024-11-08,4.275,ENTRY_FORMING,STRONG START,72.0,52.0,0.0,DISCOVERY,AMC15X-010
2024-11-12T14:30:00+00:00,2024-11-12T14:45:00+00:00,2024-11-12,4.49,CONTINUATION,ADD,0.0,5.0,15.0,DISCOVERY,AMC15X-011
2024-11-15T15:15:00+00:00,2024-11-15T15:30:00+00:00,2024-11-15,4.5348,THESIS_PRESSURE,FAIL (any severity),3.0,0.0,11.0,DISCOVERY,AMC15X-012
2024-11-22T15:15:00+00:00,2024-11-22T15:30:00+00:00,2024-11-22,4.545,RISK_OR_EXHAUSTION,PEAK,100.0,89.0,0.0,DISCOVERY,AMC15X-013
2024-11-27T14:45:00+00:00,2024-11-27T15:00:00+00:00,2024-11-27,4.98,CONTINUATION,ADD,70.0,46.0,4.0,DISCOVERY,AMC15X-014
2024-12-05T19:45:00+00:00,2024-12-05T20:00:00+00:00,2024-12-05,5.5142,RISK_OR_EXHAUSTION,MANAGE,0.0,0.0,16.0,DISCOVERY,AMC15X-015
2024-12-17T14:30:00+00:00,2024-12-17T14:45:00+00:00,2024-12-17,4.11,ENTRY_FORMING,STRONG START,84.0,58.0,0.0,DISCOVERY,AMC15X-016
2024-12-24T17:30:00+00:00,2024-12-24T17:45:00+00:00,2024-12-24,4.065,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,14.0,DISCOVERY,AMC15X-017
2024-12-26T14:30:00+00:00,2024-12-26T14:45:00+00:00,2024-12-26,4.105,CONTINUATION,RELOAD,49.0,42.0,0.0,DISCOVERY,AMC15X-018
2025-01-17T15:30:00+00:00,2025-01-17T15:45:00+00:00,2025-01-17,3.745,CONTINUATION,ADD,98.0,70.0,0.0,DISCOVERY,AMC15X-019
2025-01-27T17:45:00+00:00,2025-01-27T18:00:00+00:00,2025-01-27,3.365,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,DISCOVERY,AMC15X-020
2025-01-28T19:30:00+00:00,2025-01-28T19:45:00+00:00,2025-01-28,3.335,ENTRY_FORMING,STRONG START,80.0,55.0,0.0,DISCOVERY,AMC15X-021
2025-02-12T18:15:00+00:00,2025-02-12T18:30:00+00:00,2025-02-12,3.505,RISK_OR_EXHAUSTION,PEAK,100.0,83.0,0.0,DISCOVERY,AMC15X-022
2025-02-25T20:45:00+00:00,2025-02-25T21:00:00+00:00,2025-02-25,3.29,ENTRY_FORMING,STRONG START,86.0,58.0,0.0,DISCOVERY,AMC15X-023
2025-02-28T15:45:00+00:00,2025-02-28T16:00:00+00:00,2025-02-28,3.285,CONTINUATION,RELOAD,62.0,44.0,0.0,DISCOVERY,AMC15X-024
2025-03-07T17:00:00+00:00,2025-03-07T17:15:00+00:00,2025-03-07,3.0139,THESIS_PRESSURE,FAIL TEST,34.0,7.0,9.0,DISCOVERY,AMC15X-025
2025-04-08T13:30:00+00:00,2025-04-08T13:45:00+00:00,2025-04-08,2.765,CONTINUATION,RELOAD,83.0,61.0,0.0,DISCOVERY,AMC15X-026
2025-04-08T18:00:00+00:00,2025-04-08T18:15:00+00:00,2025-04-08,2.685,THESIS_PRESSURE,FAIL (any severity),3.0,0.0,9.0,DISCOVERY,AMC15X-027
2025-04-10T19:30:00+00:00,2025-04-10T19:45:00+00:00,2025-04-10,2.863,ENTRY_FORMING,CAMPAIGN START,100.0,72.0,0.0,DISCOVERY,AMC15X-028
2025-04-28T15:30:00+00:00,2025-04-28T15:45:00+00:00,2025-04-28,2.7408,CONTINUATION,RELOAD,71.0,52.0,0.0,DISCOVERY,AMC15X-029
2025-04-28T19:00:00+00:00,2025-04-28T19:15:00+00:00,2025-04-28,2.71,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,12.0,DISCOVERY,AMC15X-030
2025-05-09T18:45:00+00:00,2025-05-09T19:00:00+00:00,2025-05-09,2.7502,ENTRY_FORMING,STRONG START,100.0,73.0,0.0,DISCOVERY,AMC15X-031
2025-05-16T15:30:00+00:00,2025-05-16T15:45:00+00:00,2025-05-16,3.09,RISK_OR_EXHAUSTION,MANAGE,93.0,62.0,0.0,DISCOVERY,AMC15X-032
2025-05-21T13:45:00+00:00,2025-05-21T14:00:00+00:00,2025-05-21,2.985,CONTINUATION,ADD,99.0,80.0,0.0,DISCOVERY,AMC15X-033
2025-06-10T17:00:00+00:00,2025-06-10T17:15:00+00:00,2025-06-10,3.375,ENTRY_FORMING,STRONG START,84.0,57.0,0.0,DISCOVERY,AMC15X-034
2025-06-11T19:45:00+00:00,2025-06-11T20:00:00+00:00,2025-06-11,3.3,THESIS_PRESSURE,FAIL TEST,1.0,0.0,9.0,DISCOVERY,AMC15X-035
2025-07-02T19:00:00+00:00,2025-07-02T19:15:00+00:00,2025-07-02,2.8746,ENTRY_FORMING,STRONG START,74.0,53.0,0.0,DISCOVERY,AMC15X-036
2025-07-07T16:30:00+00:00,2025-07-07T16:45:00+00:00,2025-07-07,2.865,THESIS_PRESSURE,FAIL (any severity),3.0,0.0,8.0,DISCOVERY,AMC15X-037
2025-07-09T16:45:00+00:00,2025-07-09T17:00:00+00:00,2025-07-09,3.0152,RISK_OR_EXHAUSTION,MANAGE,87.0,71.0,0.0,DISCOVERY,AMC15X-038
2025-07-10T14:45:00+00:00,2025-07-10T15:00:00+00:00,2025-07-10,2.965,CONTINUATION,ADD,95.0,75.0,0.0,DISCOVERY,AMC15X-039
2025-07-11T14:00:00+00:00,2025-07-11T14:15:00+00:00,2025-07-11,3.31,RISK_OR_EXHAUSTION,MANAGE,94.0,80.0,0.0,DISCOVERY,AMC15X-040
2025-07-17T14:15:00+00:00,2025-07-17T14:30:00+00:00,2025-07-17,3.315,RISK_OR_EXHAUSTION,MANAGE,0.0,5.0,12.0,DISCOVERY,AMC15X-041
2025-08-08T14:00:00+00:00,2025-08-08T14:15:00+00:00,2025-08-08,2.865,RISK_OR_EXHAUSTION,MANAGE,76.0,45.0,3.0,DISCOVERY,AMC15X-042
2025-08-11T13:45:00+00:00,2025-08-11T14:00:00+00:00,2025-08-11,3.1251,RISK_OR_EXHAUSTION,MANAGE,89.0,66.0,0.0,DISCOVERY,AMC15X-043
2025-08-12T16:00:00+00:00,2025-08-12T16:15:00+00:00,2025-08-12,3.035,ENTRY_FORMING,STRONG START,99.0,67.0,0.0,DISCOVERY,AMC15X-044
2025-08-13T16:30:00+00:00,2025-08-13T16:45:00+00:00,2025-08-13,3.0879,CONTINUATION,ADD,97.0,78.0,0.0,DISCOVERY,AMC15X-045
2025-08-15T18:45:00+00:00,2025-08-15T19:00:00+00:00,2025-08-15,3.0157,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,32.0,DISCOVERY,AMC15X-046
2025-09-11T18:45:00+00:00,2025-09-11T19:00:00+00:00,2025-09-11,2.8336,CONTINUATION,ADD,85.0,68.0,0.0,DISCOVERY,AMC15X-047
2025-09-23T18:30:00+00:00,2025-09-23T18:45:00+00:00,2025-09-23,2.95,THESIS_PRESSURE,FAIL TEST,33.0,15.0,5.0,DISCOVERY,AMC15X-048
2025-09-29T14:15:00+00:00,2025-09-29T14:30:00+00:00,2025-09-29,3.035,RISK_OR_EXHAUSTION,MANAGE,84.0,53.0,0.0,DISCOVERY,AMC15X-049
2025-09-29T19:30:00+00:00,2025-09-29T19:45:00+00:00,2025-09-29,2.9955,ENTRY_FORMING,STRONG START,100.0,67.0,0.0,DISCOVERY,AMC15X-050
2025-10-02T17:15:00+00:00,2025-10-02T17:30:00+00:00,2025-10-02,2.9665,CONTINUATION,RELOAD,91.0,63.0,0.0,DISCOVERY,AMC15X-051
2025-10-28T14:15:00+00:00,2025-10-28T14:30:00+00:00,2025-10-28,2.6998,THESIS_PRESSURE,FAIL TEST,0.0,0.0,30.0,DISCOVERY,AMC15X-052
2025-10-31T19:15:00+00:00,2025-10-31T19:30:00+00:00,2025-10-31,2.585,ENTRY_FORMING,STRONG START,85.0,57.0,0.0,DISCOVERY,AMC15X-053
2025-11-25T15:00:00+00:00,2025-11-25T15:15:00+00:00,2025-11-25,2.2953,RISK_OR_EXHAUSTION,MANAGE,94.0,62.0,0.0,DISCOVERY,AMC15X-054
2025-12-04T16:45:00+00:00,2025-12-04T17:00:00+00:00,2025-12-04,2.285,THESIS_PRESSURE,FAIL TEST,11.0,5.0,9.0,DISCOVERY,AMC15X-055
2025-12-08T14:30:00+00:00,2025-12-08T14:45:00+00:00,2025-12-08,2.29,ENTRY_FORMING,STRONG START,85.0,58.0,0.0,DISCOVERY,AMC15X-056
2026-01-09T17:45:00+00:00,2026-01-09T18:00:00+00:00,2026-01-09,1.645,RISK_OR_EXHAUSTION,MANAGE,83.0,56.0,0.0,DISCOVERY,AMC15X-057
2026-01-22T14:30:00+00:00,2026-01-22T14:45:00+00:00,2026-01-22,1.62,ENTRY_FORMING,STRONG START,88.0,62.0,0.0,DISCOVERY,AMC15X-058
2026-01-22T16:45:00+00:00,2026-01-22T17:00:00+00:00,2026-01-22,1.669,CONTINUATION,ADD,97.0,74.0,0.0,DISCOVERY,AMC15X-059
2026-01-23T17:30:00+00:00,2026-01-23T17:45:00+00:00,2026-01-23,1.59,THESIS_PRESSURE,FAIL (any severity),1.0,0.0,11.0,DISCOVERY,AMC15X-060
2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06,1.4399,ENTRY_FORMING,STRONG START,81.0,53.0,0.0,HOLDOUT,AMC15X-061
2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06,1.4765,CONTINUATION,ADD,92.0,64.0,0.0,HOLDOUT,AMC15X-062
