partition,event_family,contract_type,dte_target,anchors,contracts,ready,matched_bars_min,matched_bars_max,censored
DISCOVERY,CONTINUATION,CALL,14,63,63,38,1,152,40
DISCOVERY,ENTRY_FORMING,CALL,14,63,63,42,2,187,45
DISCOVERY,RISK_OR_EXHAUSTION,CALL,14,64,64,45,1,155,52
DISCOVERY,THESIS_PRESSURE,CALL,14,64,64,27,1,133,35
HOLDOUT,CONTINUATION,CALL,14,28,28,17,3,145,18
HOLDOUT,ENTRY_FORMING,CALL,14,28,28,16,0,148,19
HOLDOUT,RISK_OR_EXHAUSTION,CALL,14,31,31,16,1,130,20
HOLDOUT,THESIS_PRESSURE,CALL,14,29,29,11,0,132,18
