signal_bar_open_utc,decision_available_utc,session_date,spot,event_family,events,campaign_health,phase_confidence,weakness_count,partition,symbol,anchor_id,ticker,contract_type,strike,expiration,dte,moneyness_pct,dte_target,moneyness_target,moneyness_distance_pct,moneyness_band,selection_policy,bar_count,bars_file,cached,cache_start_date,cache_end_date
2024-08-22T17:30:00+00:00,2024-08-22T17:45:00+00:00,2024-08-22,71.26,THESIS_PRESSURE,FAIL TEST,33.0,16.0,5.0,DISCOVERY,PYPL,PYPL-0001,O:PYPL240906C00071000,CALL,71.0,2024-09-06,15,0.3661971830985987,14,0.0,0.3661971830985987,NEAR_ATM,WITHIN_TOLERANCE,257,bars/O_PYPL240906C00071000.json,False,2024-08-15,2024-09-06
2024-08-22T18:00:00+00:00,2024-08-22T18:15:00+00:00,2024-08-22,22.4291,THESIS_PRESSURE,FAIL TEST,27.0,10.0,6.0,DISCOVERY,GME,GME-0001,O:GME240906C00022500,CALL,22.5,2024-09-06,15,-0.31511111111111884,14,0.0,0.31511111111111884,NEAR_ATM,WITHIN_TOLERANCE,355,bars/O_GME240906C00022500.json,False,2024-08-15,2024-09-06
2024-08-22T18:00:00+00:00,2024-08-22T18:15:00+00:00,2024-08-22,263.66,THESIS_PRESSURE,FAIL TEST,0.0,0.0,18.0,DISCOVERY,LULU,LULU-0001,O:LULU240906C00262500,CALL,262.5,2024-09-06,15,0.44190476190477146,14,0.0,0.44190476190477146,NEAR_ATM,WITHIN_TOLERANCE,141,bars/O_LULU240906C00262500.json,False,2024-08-15,2024-09-06
2024-08-22T18:00:00+00:00,2024-08-22T18:15:00+00:00,2024-08-22,17.095,THESIS_PRESSURE,FAIL TEST,9.0,1.0,9.0,DISCOVERY,U,U-0001,O:U240906C00017000,CALL,17.0,2024-09-06,15,0.5588235294117581,14,0.0,0.5588235294117581,NEAR_ATM,WITHIN_TOLERANCE,232,bars/O_U240906C00017000.json,False,2024-08-15,2024-09-06
2024-08-22T19:00:00+00:00,2024-08-22T19:15:00+00:00,2024-08-22,22.53,CONTINUATION,RELOAD,64.0,50.0,2.0,DISCOVERY,GME,GME-0002,O:GME240906C00022500,CALL,22.5,2024-09-06,15,0.13333333333333838,14,0.0,0.13333333333333838,NEAR_ATM,WITHIN_TOLERANCE,355,bars/O_GME240906C00022500.json,False,2024-08-15,2024-09-06
2024-08-22T19:30:00+00:00,2024-08-22T19:45:00+00:00,2024-08-22,10.425,CONTINUATION,RELOAD,9.0,26.0,0.0,DISCOVERY,VALE,VALE-0001,O:VALE240906C00010500,CALL,10.5,2024-09-06,15,-0.7142857142857075,14,0.0,0.7142857142857075,NEAR_ATM,WITHIN_TOLERANCE,149,bars/O_VALE240906C00010500.json,False,2024-08-15,2024-09-06
2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23,267.49,CONTINUATION,RELOAD,78.0,59.0,0.0,DISCOVERY,LULU,LULU-0002,O:LULU240906C00267500,CALL,267.5,2024-09-06,14,-0.003738317757005946,14,0.0,0.003738317757005946,NEAR_ATM,WITHIN_TOLERANCE,164,bars/O_LULU240906C00267500.json,False,2024-08-16,2024-09-06
2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23,559.32,CONTINUATION,RELOAD,25.0,32.0,0.0,DISCOVERY,SPY,SPY-0001,O:SPY240906C00559000,CALL,559.0,2024-09-06,14,0.0572450805009034,14,0.0,0.0572450805009034,NEAR_ATM,WITHIN_TOLERANCE,377,bars/O_SPY240906C00559000.json,False,2024-08-16,2024-09-06
2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23,216.3271,CONTINUATION,RELOAD,20.0,31.0,0.0,DISCOVERY,TSLA,TSLA-0001,O:TSLA240906C00217500,CALL,217.5,2024-09-06,14,-0.5392643678160913,14,0.0,0.5392643678160913,NEAR_ATM,WITHIN_TOLERANCE,347,bars/O_TSLA240906C00217500.json,False,2024-08-16,2024-09-06
2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23,17.1702,CONTINUATION,RELOAD,74.0,54.0,0.0,DISCOVERY,U,U-0002,O:U240906C00017000,CALL,17.0,2024-09-06,14,1.0011764705882427,14,0.0,1.0011764705882427,NEAR_ATM,WITHIN_TOLERANCE,232,bars/O_U240906C00017000.json,False,2024-08-15,2024-09-06
