signal_bar_open_utc,decision_available_utc,session_date,spot,event_family,events,campaign_health,phase_confidence,weakness_count,partition,anchor_id,ticker,contract_type,strike,expiration,dte,moneyness_pct,dte_target,moneyness_target,bar_count,bars_file,cached
2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23,5.0229,CONTINUATION,RELOAD,76.0,52.0,0.0,DISCOVERY,AMC15-001,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.4579999999999984,14,0.0,357,bars/O_AMC240906C00005000.json,False
2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23,5.0229,CONTINUATION,RELOAD,76.0,52.0,0.0,DISCOVERY,AMC15-001,O:AMC240920C00005000,CALL,5.0,2024-09-20,28,0.4579999999999984,30,0.0,507,bars/O_AMC240920C00005000.json,False
2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23,5.0229,CONTINUATION,RELOAD,76.0,52.0,0.0,DISCOVERY,AMC15-001,O:AMC240906P00005000,PUT,5.0,2024-09-06,14,-0.4579999999999984,14,0.0,301,bars/O_AMC240906P00005000.json,False
2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23,5.0229,CONTINUATION,RELOAD,76.0,52.0,0.0,DISCOVERY,AMC15-001,O:AMC240920P00005000,PUT,5.0,2024-09-20,28,-0.4579999999999984,30,0.0,358,bars/O_AMC240920P00005000.json,False
2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,2024-08-26,5.1701,RISK_OR_EXHAUSTION,MANAGE,95.0,75.0,0.0,DISCOVERY,AMC15-002,O:AMC240906C00005000,CALL,5.0,2024-09-06,11,3.401999999999994,14,0.0,357,bars/O_AMC240906C00005000.json,True
2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,2024-08-26,5.1701,RISK_OR_EXHAUSTION,MANAGE,95.0,75.0,0.0,DISCOVERY,AMC15-002,O:AMC240927C00005000,CALL,5.0,2024-09-27,32,3.401999999999994,30,0.0,389,bars/O_AMC240927C00005000.json,False
2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,2024-08-26,5.1701,RISK_OR_EXHAUSTION,MANAGE,95.0,75.0,0.0,DISCOVERY,AMC15-002,O:AMC240906P00005000,PUT,5.0,2024-09-06,11,-3.401999999999994,14,0.0,301,bars/O_AMC240906P00005000.json,True
2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,2024-08-26,5.1701,RISK_OR_EXHAUSTION,MANAGE,95.0,75.0,0.0,DISCOVERY,AMC15-002,O:AMC240927P00005000,PUT,5.0,2024-09-27,32,-3.401999999999994,30,0.0,235,bars/O_AMC240927P00005000.json,False
2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30,4.89,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,AMC15-003,O:AMC240913C00005000,CALL,5.0,2024-09-13,14,-2.2000000000000064,14,0.0,358,bars/O_AMC240913C00005000.json,False
2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30,4.89,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,AMC15-003,O:AMC240927C00005000,CALL,5.0,2024-09-27,28,-2.2000000000000064,30,0.0,389,bars/O_AMC240927C00005000.json,True
